,NSW air quality monitoring (AQMN) site,AQMN Region,"Sub-region,where applicable",Site address,"Latitude
(South)","Longitude
(East)",Altitude (ahd),Commissioned,Status,Station type,Timezone of site location,Timezone observations reported in,Station Movement (m),PM10,PM2.5,TSP (indicative),NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION,Black Carbon,Web link to station meta data page
,Albion Park Rail,Illawarra,,Aerodrome,-34.55700,150.78952,5,1978,Decommissioned (1997),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,ü,ü,ü,,,ü,ü,,,,Not available
,Albion Park South,Illawarra,,Terry Reserve,-34.57780,150.78244,13,2005,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/illawarra/monitoring-stations/albion-park-south
,Kembla Grange,Illawarra,,Kembla Grange Racecourse,-34.47442,150.81916,5,1994,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,ü,,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/illawarra/monitoring-stations/kembla-grange
,Warrawong,Illawarra,,Carlotta Cres,-34.48973,150.89216,9,1993,Decommissioned (2006),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,,,,,,,,Not available
,Wollongong,Illawarra,,Gipps St,-34.41706,150.88733,15,1993,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,ü,ü,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/illawarra/monitoring-stations/wollongong
,Roadside Monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,Not available
,Bradfield Highway,Roadside,Sydney east,Between Bradfield Highway and Cahill Expressway,-33.84343,151.21142,36,2018,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,,ü,,,ü,,,ü,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/special-projects-monitoring/monitoring-stations/bradfield-highway
,Research Monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,Not available
,Cataract RFS (2019-20),Research Monitoring,Illawarra,Cataract Scout Park,-34.24479,150.82352,56,2019,Decommissioned (2020),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,Not available
,Katoomba,Research Monitoring,Blue Mountains,Valley Rd,-33.71028,150.29959,1046,2019,Decommissioned (2020),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,Not available
,Kurrajong Heights,Research Monitoring,Sydney north west,Bells Line of Road,-33.52106,150.62842,350,2000,Decommissioned (2003),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,ü,ü,,,,ü,ü,,,,Not available
,Liverpool SWAQS,Research Monitoring,Sydney south west,"Liverpool Girl High School, Forbes Street",-33.91889,150.93252,12,2019,Decommissioned (2020),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,Not available
