"Site","Lat.South","Long.East","Alt.AHD","Time","TEMP.1h.C","HUMID.1h","RAIN.1h.mm.m2","WSP.1h.m.s","WDR.1h","SOLAR.1h.W.m2","PM2.5.1h.mcrg.m3","PM10.1h.mcrg.m3","CO.1h.ppm","CO.8h.rlg.ppm","SO2.1h.pphm","NO.1h.pphm","NO2.1h.pphm","SD1.1h","NEPH.1h.bsp","OZONE.1h.pphm","OZONE.4h.rlg.pphm","NH3.1h.pphm"
"BERESFIELD",-32.79679,151.66102,14,1,15.7,97.9,NA,1.4,309.5,NA,5.1,7.8,NA,NA,0.1,3.4,0.5,15.64,0.21,0,0,NA
"BRINGELLY",-33.91765,150.76193,53,1,14.4,100.3,NA,0.1,191.8,3.2,4.2,NA,NA,NA,0,0.7,0.3,100.51,0.17,0.1,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,1,17.3,93.2,0,1,284.2,NA,6.4,16.1,NA,NA,0.1,4,1.1,17.6,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,1,17.1,92.9,NA,0.5,344.2,-2.8,7,11.2,0.1,0.1,0.2,1.7,1.3,38.9,0.13,0.1,0.1,NA
"EARLWOOD",-33.91618,151.13579,7,1,17.3,94.4,NA,0.1,182.7,NA,4.4,8,NA,NA,NA,2.2,0.9,81.39,0.12,0,0,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,1,18.3,86.9,NA,0.8,40.8,-3.4,0.3,2.8,NA,NA,NA,0,0.5,60.76,0.08,0.7,0.5,NA
"LINDFIELD",-33.78113,151.1509,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,1,17.1,93.5,NA,0.3,211.7,NA,10.6,13.1,0.3,0.2,0.1,5.3,1.4,48.76,0.21,0,0,NA
"MAYFIELD",-32.88506,151.72835,5,1,16.8,95.7,NA,0.9,287.8,-2.8,2.7,16,NA,NA,0.1,5.1,0.9,25.79,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,1,16.6,94.3,NA,0.7,294.4,NA,0.6,9.3,0.3,0.3,0.1,2.2,0.8,26.77,0.11,0.1,0.1,NA
"RANDWICK",-33.93178,151.2428,28,1,17.5,91,NA,0.3,41.5,NA,1.6,6.6,NA,NA,0.1,0.5,1,23.31,0.11,0.2,0.6,NA
"RICHMOND",-33.61644,150.74735,21,1,16.5,NA,NA,0.3,16.3,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,1,18.2,89.5,0,0.7,331.5,-8.5,2.3,5,0.2,0.2,0.2,0.1,1.1,35.63,0.08,0.2,0.7,NA
"STOCKTON",-32.90197,151.78427,5,1,18.4,94,NA,1.9,298.6,NA,8.6,38,NA,NA,NA,NA,NA,38.63,NA,NA,NA,NA
"TAMWORTH",-31.10991,150.9145,405,1,15.4,85.1,NA,1.4,156.7,NA,1.3,7.1,NA,NA,NA,NA,NA,18.21,NA,1.1,1.2,NA
"WALLSEND",-32.89439,151.67021,8,1,15.4,95.6,NA,0.3,254.9,-2.2,0.8,4.6,NA,NA,0,0.6,0.5,68.82,0.08,0.1,0.1,NA
"WOLLONGONG",-34.41706,150.88733,15,1,19.8,83,0,0.3,281.7,NA,53.2,6.6,0.1,0.2,0,0,0.4,86.16,0.09,0.9,1.1,NA
"WYONG",-33.27897,151.43241,3,1,16.3,97.1,0,0.9,346.9,NA,-4.7,6.5,0.2,0.2,0,0,0.2,24.89,0.06,0.2,0.1,NA
"BERESFIELD",-32.79679,151.66102,14,2,15.4,98.3,NA,1.5,324.5,NA,5.6,5.9,NA,NA,NA,NA,NA,18.11,0.14,NA,0,NA
"BRINGELLY",-33.91765,150.76193,53,2,14.4,100.5,NA,0.2,121.5,3.8,2.8,4.1,NA,NA,NA,NA,NA,76.61,0.34,NA,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,2,17,93.2,0,0.9,318.5,NA,7.2,10.2,NA,NA,NA,NA,NA,21.78,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,2,16.6,93.2,NA,0.5,283.7,-2.8,4.3,9,NA,0.1,NA,NA,NA,36.26,0.12,NA,0.1,NA
"EARLWOOD",-33.91618,151.13579,7,2,17.1,94.3,NA,0.3,254.9,NA,0.8,7.8,NA,NA,NA,NA,NA,44.04,0.11,NA,0,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,2,17.7,89.3,NA,0.7,3.3,-3.3,6.3,10.4,NA,NA,NA,NA,NA,75.93,0.09,NA,0.7,NA
"LINDFIELD",-33.78113,151.1509,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,2,16.6,94.3,NA,0.1,227.9,NA,19.2,10.2,NA,0.2,NA,NA,NA,101.14,0.18,NA,0,NA
"MAYFIELD",-32.88506,151.72835,5,2,16.3,96.8,NA,0.8,303.9,-2.7,-4.1,7.2,NA,NA,NA,NA,NA,20.15,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,2,16.7,93.5,NA,1.1,324.4,NA,-1.2,9.6,NA,0.4,NA,NA,NA,13.6,0.11,NA,0.1,NA
"RANDWICK",-33.93178,151.2428,28,2,18.3,85.4,NA,1.2,357.6,NA,3.5,7.5,NA,NA,NA,NA,NA,20.77,0.08,NA,0.4,NA
"RICHMOND",-33.61644,150.74735,21,2,15.9,NA,NA,0.2,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,2,18.5,83.9,0,1,344.4,-9.8,3.1,-0.2,NA,0.2,NA,NA,NA,28.39,0.07,NA,0.6,NA
"STOCKTON",-32.90197,151.78427,5,2,17.7,96.5,NA,2,326.9,NA,9.5,19.5,NA,NA,0.1,4.5,1.4,30.03,NA,NA,NA,0.6
"TAMWORTH",-31.10991,150.9145,405,2,14.3,89.1,NA,1.4,160.2,NA,1.2,5.2,NA,NA,NA,NA,NA,14.65,NA,NA,1.2,NA
"WALLSEND",-32.89439,151.67021,8,2,15,95.9,NA,0.1,266.9,-2.2,1.6,0.8,NA,NA,NA,NA,NA,93.35,0.12,NA,0.1,NA
"WOLLONGONG",-34.41706,150.88733,15,2,19.6,83.6,0,0.4,334.5,NA,11,8.4,NA,0.2,NA,NA,NA,91.67,0.11,NA,1.2,NA
"WYONG",-33.27897,151.43241,3,2,16,97.1,0,0.9,344.5,NA,-1.5,4,NA,0.2,NA,NA,NA,35.97,0.06,NA,0.1,NA
"BERESFIELD",-32.79679,151.66102,14,3,15.5,98.3,NA,1.9,312.3,NA,6.7,7.1,NA,NA,0.1,1.3,0.6,11.37,0.18,0.1,0,NA
"BRINGELLY",-33.91765,150.76193,53,3,14.3,100.6,NA,0.1,238.9,4.3,2.4,8.3,NA,NA,0,0.7,0.3,104.63,0.45,0.1,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,3,16.6,94.2,0,1.5,329,NA,6.8,12.1,NA,NA,0.1,3.5,1,15.6,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,3,17.1,91.4,NA,0.9,256.8,-3,0.6,9.5,0.1,0.1,0.1,0.5,1.1,27.93,0.13,0.2,0.1,NA
"EARLWOOD",-33.91618,151.13579,7,3,16.7,94.4,NA,0.3,262.4,NA,3.1,7.3,NA,NA,NA,1.9,0.6,64.94,0.11,0,0,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,3,18.9,84.4,NA,0.6,336.6,-4.5,-1.6,10.5,NA,NA,NA,0,0.4,73.91,0.09,1.1,0.9,NA
"LINDFIELD",-33.78113,151.1509,60,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,3,16.3,94.7,NA,0.9,248,NA,7.9,13.4,0.2,0.2,0.1,5.7,1.1,13.86,0.18,0,0,NA
"MAYFIELD",-32.88506,151.72835,5,3,15.9,97.2,NA,1,332.5,-2,-4.5,6.8,NA,NA,0,2.6,0.6,29.92,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,3,16.7,93.8,NA,1.5,327.6,NA,-0.5,10.3,0.3,0.4,0.1,2.3,0.8,10.25,0.14,0.1,0.1,NA
"RANDWICK",-33.93178,151.2428,28,3,18.3,82.9,NA,0.5,314.5,NA,3.8,0.5,NA,NA,0.1,0,0.7,46.33,0.06,0.9,0.5,NA
"RICHMOND",-33.61644,150.74735,21,3,15.3,NA,NA,0.4,248.1,NA,NA,NA,NA,NA,0,0.1,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,3,17.9,86.1,0,0.6,299.2,-9.4,2.4,3.6,0.2,0.2,0.1,0,0.5,47.5,0.06,0.8,0.5,NA
"STOCKTON",-32.90197,151.78427,5,3,16.7,98,NA,2.8,350.5,NA,4.7,25.1,NA,NA,0,2.2,1.1,7.13,NA,NA,NA,0.8
"TAMWORTH",-31.10991,150.9145,405,3,13.8,91.2,NA,1.1,162.2,NA,2.2,2.9,NA,NA,NA,NA,NA,19.98,NA,0.9,1.1,NA
"WALLSEND",-32.89439,151.67021,8,3,14.6,96.3,NA,0.5,338.5,-1.9,0.7,10.2,NA,NA,0,1.2,0.3,37.28,0.15,0.1,0.1,NA
"WOLLONGONG",-34.41706,150.88733,15,3,18.7,86.7,0,0.4,236.6,NA,13.6,6.6,0.2,0.2,0,0,0.7,68.85,0.1,0.6,0.9,NA
"WYONG",-33.27897,151.43241,3,3,15.8,97,0.2,0.8,359.3,NA,-2.7,5.3,0,0.2,0,0,0.1,33.25,0.05,0.3,0.2,NA
"BERESFIELD",-32.79679,151.66102,14,4,15.4,98.5,NA,2.2,303.4,NA,4.8,13.8,NA,NA,0.1,2.4,0.9,8.64,0.68,0,0,NA
"BRINGELLY",-33.91765,150.76193,53,4,14,100.7,NA,0.1,243.1,3.8,1.2,18.4,NA,NA,0,0.7,0.3,92.71,0.15,0.1,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,4,16.1,94,0,1.7,322.6,NA,5.4,9.5,NA,NA,0.1,2.3,0.9,15.83,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,4,16.8,91.8,NA,0.8,272.1,-2.9,2.7,7.8,0.1,0.1,0.1,0.9,1.1,31.45,0.14,0.1,0.2,NA
"EARLWOOD",-33.91618,151.13579,7,4,16.5,95.2,NA,0.1,314.9,NA,4,9.3,NA,NA,NA,2.7,0.8,93.53,0.13,0,0,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,4,19,81.7,NA,1.1,216.6,-4.3,2.5,3.5,NA,NA,NA,0,0.2,43.31,0.08,1.4,1.1,NA
"LINDFIELD",-33.78113,151.1509,60,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,4,16,95.1,NA,0.5,253.6,NA,7.6,13.3,0.1,0.2,0.1,3.7,1.2,36.38,0.3,0,0,NA
"MAYFIELD",-32.88506,151.72835,5,4,15.6,97.3,NA,1.3,323.5,-2.3,-3.9,8.1,NA,NA,0,0.5,0.5,24.39,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,4,16.1,93.9,NA,1.9,329.1,NA,2,4.4,0.3,0.4,0.1,1.1,0.7,11.04,0.08,0,0.1,NA
"RANDWICK",-33.93178,151.2428,28,4,17.8,86.4,NA,0.8,287.5,NA,2.5,8.5,NA,NA,0.1,0,0.9,26.43,0.08,0.7,0.6,NA
"RICHMOND",-33.61644,150.74735,21,4,14.9,NA,NA,0.1,255.7,NA,NA,NA,NA,NA,0,0.1,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,4,17.1,90.6,0,0.1,299,-8.7,2,4.2,0.2,0.2,0.1,0,0.6,87.96,0.08,0.7,0.6,NA
"STOCKTON",-32.90197,151.78427,5,4,16.5,97.9,NA,3,338.4,NA,4.5,27.9,NA,NA,0.4,1.8,1.2,18.15,NA,NA,NA,1
"TAMWORTH",-31.10991,150.9145,405,4,13.1,93.3,NA,0.8,171.3,NA,-0.4,3.6,NA,NA,NA,NA,NA,42.79,NA,0.7,0.9,NA
"WALLSEND",-32.89439,151.67021,8,4,14.6,96.5,NA,0.3,3.5,-2.1,0.6,3.8,NA,NA,0,2.5,0.5,40.27,0.26,0,0.1,NA
"WOLLONGONG",-34.41706,150.88733,15,4,18.7,87.1,0,0.6,133.6,NA,52,15.8,0.2,0.2,0.1,1,1.4,68.02,0.21,0.1,0.5,NA
"WYONG",-33.27897,151.43241,3,4,15.5,96.8,0,0.7,8.9,NA,-2.5,8,0.1,0.1,0,0.1,0.2,34.83,0.05,0.1,0.2,NA
"BERESFIELD",-32.79679,151.66102,14,5,15.5,98.6,NA,2.4,307,NA,2.5,8.9,NA,NA,0,1.4,1,13.61,0.37,0,0.1,NA
"BRINGELLY",-33.91765,150.76193,53,5,13.6,100.9,NA,0.3,65.5,4,-2.6,-6.5,NA,NA,0.1,0.6,0.4,90.56,0.12,0.1,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,5,16.1,94.4,0,1.8,321.5,NA,4,13.2,NA,NA,0,2.5,1,15.67,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,5,16.2,93.8,NA,0.5,303.7,-2.8,12.8,8,0.1,0.1,0.1,1.7,1,47.64,0.15,0.1,0.1,NA
"EARLWOOD",-33.91618,151.13579,7,5,16.3,95.5,NA,0.2,330,NA,0.4,8.7,NA,NA,NA,2.2,0.9,69.74,0.14,0,0,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,5,18,84.1,NA,0.3,359.6,-3.4,3.2,6.3,NA,NA,NA,0,0.3,95.22,0.1,1,1.2,NA
"LINDFIELD",-33.78113,151.1509,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,5,15.7,96.1,NA,0.9,279.6,NA,6.4,5.5,0.1,0.2,0,0.7,1.1,28.62,0.35,0,0,NA
"MAYFIELD",-32.88506,151.72835,5,5,15.9,96.9,NA,1.8,322.4,-2.2,-2,11.5,NA,NA,0,1,0.9,26.66,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,5,16,93.7,NA,2.5,321.8,NA,0.8,10.1,0.3,0.3,0.1,1.4,0.8,9.15,0.14,0.1,0,NA
"RANDWICK",-33.93178,151.2428,28,5,17,89.7,NA,0.2,26.6,NA,4.6,5.3,NA,NA,0.1,0.1,1.2,78.53,0.1,0.3,0.6,NA
"RICHMOND",-33.61644,150.74735,21,5,14.4,NA,NA,0.3,284.9,NA,NA,NA,NA,NA,0,0.2,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,5,16.8,93.1,0,0.1,274.7,-8.4,0.2,7.2,0.2,0.2,0.1,0.7,1.1,86.28,0.1,0.1,0.5,NA
"STOCKTON",-32.90197,151.78427,5,5,17.1,96.6,NA,4.8,313.5,NA,1.6,28.9,NA,NA,0.1,3.4,2.3,9.45,NA,NA,NA,1.7
"TAMWORTH",-31.10991,150.9145,405,5,12.9,93.4,NA,1.5,160.4,NA,-1.7,6.3,NA,NA,NA,NA,NA,13.27,NA,0.7,0.7,NA
"WALLSEND",-32.89439,151.67021,8,5,14.4,96.7,NA,0.1,170.2,-2.2,0.6,8,NA,NA,0,1.3,0.4,89.68,0.09,0,0.1,NA
"WOLLONGONG",-34.41706,150.88733,15,5,18.6,87.4,0,0.5,162.5,NA,79.8,22.1,0.2,0.2,0,0.4,1.2,69.26,0.25,0.2,0.3,NA
"WYONG",-33.27897,151.43241,3,5,15.3,96.6,0,1,7.9,NA,-1.8,9.1,0.1,0.1,0,0.4,0.2,24.21,0.05,0.1,0.2,NA
"BERESFIELD",-32.79679,151.66102,14,6,15.6,98.4,NA,2.4,310.2,NA,4.1,13.3,NA,NA,0.1,2.3,1.1,10.05,0.2,0.1,0.1,NA
"BRINGELLY",-33.91765,150.76193,53,6,14.2,101,NA,0.1,275.3,4.3,-1.1,2.4,NA,NA,0,0.5,0.5,83.33,0.43,0.1,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,6,16.3,94.2,0,2.2,323.1,NA,1.8,14.5,NA,NA,0,2.1,1.1,15.93,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,6,16.3,93.7,NA,1,276,-2.7,10.3,10.7,0,0.1,0.1,0.8,1,49.22,0.14,0.1,0.1,NA
"EARLWOOD",-33.91618,151.13579,7,6,16.4,95.5,NA,0.5,296.4,NA,0,11.7,NA,NA,NA,2.3,1,62.39,0.14,0,0,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,6,17.6,83.6,NA,0.9,84.6,-3.7,7,9.1,NA,NA,NA,1.4,1.2,50.82,0.12,0.1,0.9,NA
"LINDFIELD",-33.78113,151.1509,60,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,6,15.8,96.4,NA,1.4,260,NA,5.3,12.9,0,0.2,0.1,1.9,1.2,20.99,0.34,0,0,NA
"MAYFIELD",-32.88506,151.72835,5,6,16,96.6,NA,2.1,315.7,-1.9,3.9,13.2,NA,NA,0,2.3,1.1,23.53,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,6,16.2,93.8,NA,2.5,325.3,NA,0.7,15.7,0.3,0.3,0.1,2.2,1,9.26,0.17,0.1,0.1,NA
"RANDWICK",-33.93178,151.2428,28,6,16.7,91.9,NA,0.4,293.5,NA,-1.3,11.4,NA,NA,0.1,0.3,1,61.55,0.1,0.2,0.5,NA
"RICHMOND",-33.61644,150.74735,21,6,14.1,NA,NA,0,228.1,NA,NA,NA,NA,NA,0,0.2,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,6,17.2,91.8,0,0.6,328.1,-8.3,2.1,10.1,0.2,0.2,0.1,0.2,0.8,60.61,0.09,0.4,0.5,NA
"STOCKTON",-32.90197,151.78427,5,6,17.1,96.6,NA,5.5,320.4,NA,4.8,19.9,NA,NA,0.1,4.3,1.8,8.03,NA,NA,NA,2.6
"TAMWORTH",-31.10991,150.9145,405,6,12.3,94,NA,1.3,164.3,NA,0.4,4.9,NA,NA,NA,NA,NA,19.63,NA,0.5,0.7,NA
"WALLSEND",-32.89439,151.67021,8,6,14.6,96.9,NA,0.6,5.7,-2.3,1.2,12.5,NA,NA,0,1.1,0.7,42.79,0.11,0,0.1,NA
"WOLLONGONG",-34.41706,150.88733,15,6,18.8,85.8,0,0.2,149.1,NA,27.2,15.1,0.2,0.2,0,0.1,1,100.23,0.18,0.5,0.3,NA
"WYONG",-33.27897,151.43241,3,6,15.2,96.4,0,1,14.1,NA,-0.6,10.2,0.1,0.1,0,1.2,0.4,20.94,0.06,0,0.1,NA
"BERESFIELD",-32.79679,151.66102,14,7,15.8,97.7,NA,3,303.1,NA,4.4,24.2,NA,NA,0.1,2.9,1.1,9.18,0.19,0.1,0.1,NA
"BRINGELLY",-33.91765,150.76193,53,7,14.4,101.1,NA,0.1,355.2,13.8,-2.2,4.2,NA,NA,0,0.6,0.4,114.65,0.38,0.1,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,7,16.6,93,0,3.2,310.9,NA,3.9,23.9,NA,NA,0.1,4.7,1.4,12.85,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,7,16.3,93.2,NA,0.8,295.9,11.8,8.4,13.7,0.1,0.1,0.1,1.9,1,39.78,0.18,0.1,0.1,NA
"EARLWOOD",-33.91618,151.13579,7,7,16.5,94.9,NA,0.9,304.6,NA,3.7,13.6,NA,NA,NA,2.3,1.2,39.68,0.13,0,0,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,7,19.4,69.6,NA,1,174,30,9.6,5.4,NA,NA,NA,0.7,0.8,59.18,0.14,0.9,0.8,NA
"LINDFIELD",-33.78113,151.1509,60,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,7,16,96.5,NA,0.8,276.2,NA,2.5,12.4,0,0.2,0.1,1.9,1.2,73.55,0.32,0,0,NA
"MAYFIELD",-32.88506,151.72835,5,7,16.2,95.4,NA,2.7,310.5,32.3,5.8,25.1,NA,NA,0.1,3.2,1.2,19.11,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,7,16.4,93,NA,2.9,324.5,NA,3.5,20.2,0.3,0.3,0.1,2.6,1.1,10.56,0.16,0.1,0.1,NA
"RANDWICK",-33.93178,151.2428,28,7,17.1,91.2,NA,0.8,275,NA,6.8,15.6,NA,NA,0.1,2.1,1.3,22.21,0.12,0.2,0.4,NA
"RICHMOND",-33.61644,150.74735,21,7,13.9,NA,NA,0.1,26.1,NA,NA,NA,NA,NA,0,0.4,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,7,16.8,93.2,0,0.4,321.8,9.1,2.2,10,0.2,0.2,0,0.6,1,62.26,0.12,0.2,0.3,NA
"STOCKTON",-32.90197,151.78427,5,7,17.2,96,NA,5.5,318.5,NA,8.7,28.9,NA,NA,0.1,4.8,2,8.91,NA,NA,NA,2.5
"TAMWORTH",-31.10991,150.9145,405,7,12.3,93,NA,1.3,148.1,NA,2.4,9.8,NA,NA,NA,NA,NA,14.72,NA,0.4,0.6,NA
"WALLSEND",-32.89439,151.67021,8,7,15.7,96.5,NA,1.3,350.7,31.9,5.1,31.2,NA,NA,0,1.8,1.1,35.08,0.16,0.1,0.1,NA
"WOLLONGONG",-34.41706,150.88733,15,7,19,83.1,0,0.2,139.7,NA,19.4,17.8,0.3,0.2,0,1.2,1.3,83.93,0.21,0.3,0.3,NA
"WYONG",-33.27897,151.43241,3,7,15.1,96.5,0,0.8,17.8,NA,0.7,16.6,0.1,0.1,0,2.3,0.4,30.28,0.06,0,0.1,NA
"BERESFIELD",-32.79679,151.66102,14,8,17.2,92.3,NA,2.6,300.4,NA,1.3,20,NA,NA,0.1,2,0.9,11.79,0.19,0.3,0.1,NA
"BRINGELLY",-33.91765,150.76193,53,8,15.2,101.2,NA,0.4,236.6,104.9,-0.4,32,NA,NA,0,0.5,0.3,49.83,0.46,0.3,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,8,18.2,86.6,0,3.6,308.3,NA,6.2,27.4,NA,NA,0.1,3.7,1.3,15.16,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,8,16.7,92.2,NA,0.7,278.1,83.3,5.9,25,0.2,0.1,0.1,4.5,1.1,46.79,0.3,0.2,0.1,NA
"EARLWOOD",-33.91618,151.13579,7,8,17.1,92.8,NA,1.2,297.3,NA,4.3,18.3,NA,NA,NA,3.4,1.3,24.13,0.16,0.1,0,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,8,21.5,63.9,NA,1.1,139.9,216.2,5.9,21.5,NA,NA,NA,1,1.1,74.87,0.22,0.9,0.7,NA
"LINDFIELD",-33.78113,151.1509,60,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,8,16.2,96.5,NA,3.4,94.5,NA,5.6,18.2,0.1,0.1,0.1,3.2,1.3,9.45,0.5,0.1,0,NA
"MAYFIELD",-32.88506,151.72835,5,8,17.7,89.4,NA,2.9,302.8,205.9,19.5,29.4,NA,NA,0.1,2.6,1.1,18,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,8,18.3,86.4,NA,4.3,321.1,NA,4.3,20.1,0.2,0.3,0.1,2.1,1,9.9,0.15,0.4,0.2,NA
"RANDWICK",-33.93178,151.2428,28,8,17.8,88.5,NA,1,278.1,NA,3.5,17.1,NA,NA,0.1,3.4,1.3,25.79,0.15,0.3,0.2,NA
"RICHMOND",-33.61644,150.74735,21,8,15.8,NA,NA,0.3,85.4,NA,NA,NA,NA,NA,0,1.1,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,8,17.3,91.9,0,0.7,304.1,51.4,4.4,16.6,0.3,0.2,0.1,1.1,1,26.08,0.14,0.3,0.2,NA
"STOCKTON",-32.90197,151.78427,5,8,18.1,91.4,NA,5.7,305.2,NA,12.2,39.9,NA,NA,0.1,4.3,2.4,8.71,NA,NA,NA,2.9
"TAMWORTH",-31.10991,150.9145,405,8,14.9,83.3,NA,1,166.6,NA,-4.3,15.2,NA,NA,NA,NA,NA,34.04,NA,0.6,0.5,NA
"WALLSEND",-32.89439,151.67021,8,8,18.6,85.1,NA,1.6,322.4,200,NA,22.3,NA,NA,0,1.4,1.1,30.95,0.16,0.5,0.2,NA
"WOLLONGONG",-34.41706,150.88733,15,8,21.4,70.6,0,0.7,131.8,NA,8.3,25.8,0.2,0.2,0,0.8,1.1,55.86,0.29,0.8,0.4,NA
"WYONG",-33.27897,151.43241,3,8,17.3,91.9,0,0.8,342.2,NA,4.6,20.1,0.1,0.1,0.1,2.6,0.4,71.96,0.09,0.3,0.1,NA
"BERESFIELD",-32.79679,151.66102,14,9,19.3,84.7,NA,5.1,295,NA,-3.2,10,NA,NA,0.2,1,0.6,10.61,0.16,0.8,0.3,NA
"BRINGELLY",-33.91765,150.76193,53,9,16.6,101.1,NA,0.5,337.4,320.7,-4.8,20.9,NA,NA,0,0.6,0.3,59.4,0.3,0.5,0.2,NA
"CARRINGTON",-32.90972,151.7633,5,9,19.9,79.5,0,4.1,301.3,NA,4.8,14.1,NA,NA,0.1,1.7,0.9,16.62,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,9,20.2,77.3,NA,1.5,308.3,378.8,5.5,25,0.1,0.1,0.1,2.9,1,37.89,0.22,0.5,0.2,NA
"EARLWOOD",-33.91618,151.13579,7,9,19.3,82.8,NA,2,292.9,NA,5.7,20.8,NA,NA,NA,3.8,1.5,21.12,0.19,0.3,0.1,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,9,25.3,45.7,NA,1,4.2,358.3,12.1,8.7,NA,NA,NA,0,0,63.45,0.33,3,1.2,NA
"LINDFIELD",-33.78113,151.1509,60,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,9,17.9,92.2,NA,0.2,310.3,NA,2.8,15.7,0.1,0.1,0.1,3.1,1.2,86.7,0.5,0.3,0.1,NA
"MAYFIELD",-32.88506,151.72835,5,9,19.2,83,NA,3.7,305.4,429.1,27.2,14.8,NA,NA,0.1,1.5,0.8,18.82,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,9,20.2,78.2,NA,4.2,319.8,NA,5.5,15.1,0.2,0.3,0.1,1.1,0.7,11.32,0.13,0.9,0.4,NA
"RANDWICK",-33.93178,151.2428,28,9,19.8,78.4,NA,1.3,285.6,NA,7.3,14,NA,NA,0.1,3.4,1.3,27.12,0.15,0.5,0.3,NA
"RICHMOND",-33.61644,150.74735,21,9,19,NA,NA,0.7,73.2,NA,NA,NA,NA,NA,0,0.6,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,9,19.9,79.5,0,0.8,307.8,390.1,7,13.6,0.3,0.2,0.1,2,1.2,42.06,0.17,0.5,0.3,NA
"STOCKTON",-32.90197,151.78427,5,9,19.4,85.5,NA,6.5,303.7,NA,16.6,28.8,NA,NA,0.1,2.8,1.7,8.93,NA,NA,NA,4.6
