Site,Lat.South,Long.East,Alt.AHD,Date,PM10.24h.mcrg.m3,CO.24h.ppm,SO2.24h.pphm,NO.24h.pphm,NO2.24h.pphm,OZONE.24h.pphm.1
PORT MACQUARIE,-31.44776,152.87653,73,10,,0.1,0,0.1,0.2,2.4
RANDWICK,-33.93178,151.2428,28,10,9.3,,0.3,0.2,0.8,1.3
RICHMOND,-33.61644,150.74735,21,10,,,0,0.2,0.2,1.2
ROUSE HILL,-33.68276,150.90371,73,10,,0.3,0,0.6,0.6,1.4
ROZELLE,-33.86435,151.16393,22,10,8.4,0.2,0,0.7,1,1.2
SINGLETON,-32.55748,151.17688,42,10,,,0.3,1.1,0.4,
ST MARYS,-33.79516,150.7668,29,10,,,,0.2,0.6,0.9
STOCKTON,-32.90197,151.78427,5,10,,,0.1,0.2,0.7,
WALLSEND,-32.89439,151.67021,8,10,,,0.3,0.9,0.5,0.9
WOLLONGONG,-34.41706,150.88733,15,10,,0.1,0,0.1,0.7,1.6
WYONG,-33.27897,151.43241,3,10,,0.2,0,0.5,0.3,1.1
BARGO,-34.3063,150.5806,365,11,,,0,0,0,2.5
BERESFIELD,-32.79679,151.66102,14,11,,,0.2,0,0.3,1.9
BRADFIELD HIGHWAY,-33.84343,151.21142,36,11,,0.1,0.1,2.7,1.3,1.6
BRINGELLY,-33.91765,150.76193,53,11,1.6,,0,0,-0.2,2.2
CAMDEN,-34.0417,150.69014,73,11,,0,,0,0.2,1.8
CAMPBELLTOWN WEST,-34.06667,150.79554,112,11,,0.2,0,1.2,0.8,1.4
CARRINGTON,-32.90972,151.7633,5,11,,,0.2,0.2,0.6,
